616742,-0.988121,0.00
617246,-0.259511,0.00
617759,-0.269204,0.00
617860,-0.273820,0.00
617961,-0.273820,0.00
618062,-0.270128,0.00
618163,-0.268281,0.00
618567,-0.280456,0.00
618668,-0.989275,0.00
619126,-0.986506,0.00
619227,-0.983736,0.00
619328,-0.989275,0.00
619429,-0.989275,0.00
619530,-0.264589,0.00
620014,-0.983506,0.00
620509,-0.266204,0.00
621013,-0.986044,0.00
621527,-0.983044,0.00
527200,4.109506,0.00
527301,-0.106986,0.00
527402,0.360514,0.00
527503,0.396476,0.00
527604,0.468399,0.00
527705,0.414457,0.00
527806,0.360514,0.00
527907,0.540322,0.00
528008,0.414457,0.00
528109,4.154458,0.00
528210,4.154458,0.00
528722,3.902727,0.00
528823,5.817680,0.00
528924,6.078402,0.00
529025,3.803833,0.00
529126,0.504361,0.00
529227,3.902727,0.00
529328,3.956670,0.00
529429,5.849146,0.00
529530,5.826671,0.00
529631,3.826309,0.00
529732,4.163449,0.00
530193,3.821814,0.00
530294,3.808328,0.00
530395,3.817319,0.00
530496,5.810937,0.00
530597,3.821814,0.00
530698,5.941298,0.00
530799,3.812824,0.00
530900,5.826671,0.00
531001,5.810937,0.00
531102,3.776862,0.00
531203,3.803833,0.00
531721,0.324553,0.00
531822,3.871261,0.00
531923,3.965660,0.00
532024,4.082535,0.00
532125,5.810937,0.00
532226,3.880251,0.00
532327,4.098269,0.00
532428,3.790348,0.00
532529,3.938689,0.00
532630,4.129735,0.00
532731,4.089278,0.00
533233,3.848785,0.00
533334,5.849146,0.00
533435,5.842404,0.00
533536,3.785852,0.00
533637,0.360514,0.00
533738,4.069049,0.00
533839,5.886232,0.00
533940,3.857775,0.00
534041,5.799699,0.00
534142,3.776862,0.00
534243,4.082535,0.00
534749,3.866766,0.00
534850,5.799699,0.00
534951,5.826671,0.00
535052,4.107259,0.00
535153,5.849146,0.00
535254,3.893737,0.00
535355,3.848785,0.00
535456,3.866766,0.00
535557,3.902727,0.00
535658,3.893737,0.00
535759,5.855889,0.00
536251,6.797632,0.00
536352,3.824061,0.00
536453,5.885108,0.00
536554,3.803833,0.00
536655,3.848785,0.00
536756,5.943545,0.00
536857,3.839795,0.00
536958,5.851394,0.00
537059,5.934555,0.00
537160,3.812824,0.00
537261,3.812824,0.00
537789,3.866766,0.00
537890,6.168305,0.00
537991,5.801947,0.00
538092,3.884747,0.00
538193,4.105011,0.00
538294,3.866766,0.00
538395,3.857775,0.00
538496,5.968269,0.00
538597,4.064554,0.00
538698,3.803833,0.00
538799,5.826671,0.00
539334,5.810937,0.00
539435,3.871261,0.00
539536,5.961526,0.00
539637,3.875756,0.00
539738,5.810937,0.00
539839,5.813185,0.00
539940,3.830804,0.00
540041,5.826671,0.00
540142,5.826671,0.00
540243,4.105011,0.00
540344,3.857775,0.00
540842,3.812824,0.00
540943,3.974650,0.00
541044,5.867127,0.00
541145,3.866766,0.00
541246,4.046574,0.00
541347,4.523064,0.00
541448,3.869013,0.00
541549,3.273400,0.00
541650,3.812824,0.00
541751,4.828737,0.00
541852,3.983641,0.00
542358,1.637149,0.00
542459,1.511284,0.00
542560,-0.160928,0.00
542661,-0.790255,0.00
542762,-0.655400,0.00
542863,-1.401602,0.00
542964,-0.053044,0.00
543065,-1.167852,0.00
543166,0.657197,0.00
543267,-1.068957,0.00
543368,-1.221794,0.00
543876,3.291381,0.00
543977,-0.062034,0.00
544078,3.943184,0.00
544179,4.028593,0.00
544280,3.992631,0.00
544381,3.866766,0.00
544482,3.857775,0.00
544583,3.956670,0.00
544684,3.812824,0.00
544785,-0.142947,0.00
544886,-0.071024,0.00
545428,3.965660,0.00
545529,3.920708,0.00
545630,0.108783,0.00
545731,-0.053044,0.00
545832,3.848785,0.00
545933,-0.071024,0.00
546034,3.965660,0.00
546135,3.812824,0.00
546236,3.848785,0.00
546337,3.929698,0.00
546438,5.867127,0.00
546939,5.907584,0.00
